"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"UR02_CP"	"UR02x01"	"UR02x02"	"UR02x03"	"UR02x04"	"UR02x05"	"UR02x06"	"UR02x07"	"UR02x08"	"UR02x09"	"UR02x10"	"UR02x11"	"UR02x12"	"UR02x13"	"UR02x14"	"UR02x15"	"UR02x16"	"UR02x17"	"UR02x18"	"UR02x19"	"UR02x20"	"UR02x21"	"UR02x22"	"UR02x23"	"UR02x24"	"UR02x25"	"UR02x26"	"UR02x27"	"UR02x28"	"UR02x29"	"UR02x30"	"UR02x31"	"UR02x32"	"UR02x33"	"UR02x34"	"UR02x35"	"UR02x36"	"UR02x37"	"UR02x38"	"UR02x39"	"UR02x40"	"UR02x41"	"UR02x42"	"UR02x43"	"UR02x44"	"UR02x45"	"UR02x46"	"UR02x47"	"UR02x48"	"UR02x49"	"UR02x50"	"UR02x51"	"UR02x52"	"UR02x53"	"UR02x54"	"UR02x55"	"UR02x56"	"UR02x57"	"UR02x58"	"UR02x59"	"UR02x60"	"UR02x61"	"UR02x62"	"UR02x63"	"UR02x64"	"UR02x65"	"UR02x66"	"UR02x67"	"UR02x68"	"UR02x69"	"UR02x70"	"UR02x71"	"UR02x72"	"UR02x73"	"UR02x74"	"UR02x75"	"UR02x76"	"UR02x77"	"UR02x78"	"UR02x79"	"UR02x80"	"UR02x81"	"UR02x82"	"UR02x83"	"UR02x84"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"TR02_17"	"TR02_17a"	"TR02_18"	"TR02_18a"	"TR02_19"	"TR02_19a"	"TR02_20"	"TR02_20a"	"TR02_21"	"TR02_21a"	"TR02_22"	"TR02_22a"	"TR02_23"	"TR02_23a"	"TR02_24"	"TR02_24a"	"TR02_25"	"TR02_25a"	"TR02_26"	"TR02_26a"	"TR02_27"	"TR02_27a"	"TR02_28"	"TR02_28a"	"TR02_29"	"TR02_29a"	"TR02_30"	"TR02_30a"	"TR02_31"	"TR02_31a"	"TR02_32"	"TR02_32a"	"TR02_33"	"TR02_33a"	"TR02_34"	"TR02_34a"	"TR02_35"	"TR02_35a"	"TR02_36"	"TR02_36a"	"TR02_37"	"TR02_37a"	"TR02_38"	"TR02_38a"	"TR02_39"	"TR02_39a"	"TR02_40"	"TR02_40a"	"TR02_41"	"TR02_41a"	"TR02_42"	"TR02_42a"	"TR02_43"	"TR02_43a"	"TR02_44"	"TR02_44a"	"TR02_45"	"TR02_45a"	"TR02_46"	"TR02_46a"	"TR02_47"	"TR02_47a"	"TR02_48"	"TR02_48a"	"TR02_49"	"TR02_49a"	"TR02_50"	"TR02_50a"	"TR02_51"	"TR02_51a"	"TR02_52"	"TR02_52a"	"TR02_53"	"TR02_53a"	"TR02_54"	"TR02_54a"	"TR02_55"	"TR02_55a"	"TR02_56"	"TR02_56a"	"TR02_57"	"TR02_57a"	"TR02_58"	"TR02_58a"	"TR02_59"	"TR02_59a"	"TR02_60"	"TR02_60a"	"TR02_61"	"TR02_61a"	"TR02_62"	"TR02_62a"	"TR02_63"	"TR02_63a"	"TR02_64"	"TR02_64a"	"TR02_65"	"TR02_65a"	"TR02_66"	"TR02_66a"	"TR02_67"	"TR02_67a"	"TR02_68"	"TR02_68a"	"TR02_69"	"TR02_69a"	"TR02_70"	"TR02_70a"	"TR02_71"	"TR02_71a"	"TR02_72"	"TR02_72a"	"TR02_73"	"TR02_73a"	"TR02_74"	"TR02_74a"	"TR02_75"	"TR02_75a"	"TR02_76"	"TR02_76a"	"TR02_77"	"TR02_77a"	"TR02_78"	"TR02_78a"	"TR02_79"	"TR02_79a"	"TR02_80"	"TR02_80a"	"TR02_81"	"TR02_81a"	"TR02_82"	"TR02_82a"	"TR02_83"	"TR02_83a"	"TR02_84"	"TR02_84a"	"IV01_RV1"	"IV01_REF"	"IV02_01"	"IV02_02"	"DM03"	"DM04"	"DM05"	"DM06"	"DM07"	"DM10_01"	"DM11"	"DM11_01"	"DV01_01"	"DV02_01"	"DV03_01"	"DV03_02"	"DV04_01"	"DV04_02"	"DV05_01"	"DV05_02"	"DV06_01"	"DV06_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
129			"base"	"interview"	2021-04-23 14:30:15	2	2	221	2	1	4	3	3	3	4	3	1	2	2	3	1	4	1	1	2	1	2	1	3	4	1	3	4	3	1	3	2	3	1	1	3	3	2	1	1	3	4	3	3	4	1	4	2	3	4	3	4	3	3	3	2	2	3	2	1	3	4	1	1	4	2	1	2	1	3	2	1	3	4	2	3	3	2	2	1	3	2	4	3	4	2	4	1	5253	1	5278	1	4904	1	6019	1	3005	1	3142	1	6967	1	3016	1	2771	1	3122	1	2728	1	3192	1	2878	1	4041	1	2941	1	2449	1	5630	2	4061	1	3459	1	2572	1	3301	2	6040	2	2163	1	4434	2	2528	2	4304	1	2027	1	2515	2	1835	1	2105	1	3799	1	2479	2	1821	2	2660	1	2038	1	1856	1	1847	2	1821	1	7833	2	1632	1	1823	2	1831	1	1804	2	1722	1	1904	2	1802	2	2005	2	1724	2	1675	1	1769	1	1713	2	1840	1	1870	1	1837	2	1669	2	1883	1	1983	2	2127	1	1786	2	1827	1	1874	2	1930	1	1980	2	1953	1	1927	2	2067	1	2006	2	1777	1	1780	2	1840	1	2068	1	1702	1	1716	2	1834	2	1994	2	1939	1	1807	2	1773	2	2233	1	1818	2	1711	2	1890	1	1831	2	1820	1	2077	1	1976	2	1977	2	2320	1	1817	2	2039	1	1997	2	1850	1	1963	1	1851	2	2027	2	1860	2	1997	1	1707	1	1827	1	2887	"605918411e982f51360c1696"	"-"	"Forced3Forced4Forced4Forced3Forced4Forced2Forced4Forced2Forced4Forced4Forced2Forced1Forced4Forced4Forced3Forced4ForcedFeedback"	"-520"	2	1	1	2	2	"nice study"	1	T	78	80	31	41	51	31	11	11	51	14	56	14	39	12	4	11	17	40	3	21	33	35	244	9	27	19	12	596		2021-04-23 14:40:11	T	F	17	17	0	0	1.07	10
130			"base"	"interview"	2021-04-23 14:30:16	0	3	54	1	4	1	3	3	2	2	1	2	1	3	2	3	2	2	1	2	3	1	2	2	3	4	3	1	2	4	2	3	4	3	1	3	1	4	2	3	4	4	2	1	3	1	2	4	1	1	3	4	1	4	1	4	2	4	4	2	3	3	2	1	4	3	4	3	2	4	2	1	4	2	3	4	1	1	4	2	1	1	4	1	3	1	4	1	5942	1	6054	1	5764	1	3443	1	3451	1	3344	1	6205	1	5217	1	3938	1	3538	1	3134	1	3273	1	4163	1	2806	1	2872	1	3117	2	4547	1	2731	2	2550	1	3926	1	2376	1	6577	1	3035	1	2834	1	2188	2	1859	1	4188	2	2665	1	3121	2	3050	2	3159	1	4701	2	2685	2	2761	1	3496	2	2648	2	2827	1	2454	1	2609	2	2733	1	2236	1	3260	2	2383	2	3109	2	2646	1	2082	2	2337	1	1818	1	2033	2	2077	1	2526	1	2420	2	2133	1	1956	1	3059	1	2638	1	2308	2	2049	1	2625	2	2390	2	2038	1	3021	1	2325	2	2470	1	2698	1	2473	1	2045	2	1864	2	1960	2	2035	2	1944	1	1792	2	2218	1	2491	1	1703	2	2078	2	2173	1	2206	2	3696	1	2428	1	3326	2	2402	1	3912	1	1763	1	2531	2	1790	2	2339	2	1765	1	1752	1	2233	2	3172	1	2287	1	2015	2	2524	1	2208	1	1809	1	1699	1	1807	2	1785	1	2104	"5b2be613993d7f00012a93bf"	"-"	"Forced4Forced3Forced2Forced1Forced2Forced2Forced2Forced1Forced4Forced2Forced2Forced1Forced4Forced2Forced2Forced2ForcedFeedback"	"-420"	2	4	1	2	3		1	T	101	41	11	92	15	51	101	101	22	54	16	14	14	5	14	39	7	15	4	9	18	17	266	8	11	11	12	480		2021-04-23 14:38:16	T	F	17	17	1	0	1.47	26
131			"base"	"interview"	2021-04-23 14:30:24	1	3	75	4	2	1	4	4	3	4	3	2	3	2	4	1	3	1	1	4	2	4	1	1	3	4	2	2	3	3	1	1	1	1	2	2	3	3	3	1	3	2	3	2	3	2	2	1	2	2	4	4	3	2	2	3	3	4	1	3	4	1	2	1	4	4	1	3	2	2	2	2	1	4	2	3	3	1	1	4	3	4	3	1	3	4	4	1	5410	1	3920	1	10533	1	7884	1	14348																																																																																																																																																																																															"5b264e0c0ec82d0001d207eb"	"-"	"Forced1Forced2Forced2Forced2Forced4Forced4Forced2Forced3Forced1Forced2Forced2Forced2Forced2Forced4Forced2Forced1ForcedFeedback"		2						1	T											11	15	15	4	6	25		15										91		2021-04-23 14:31:55	F	F	8	8	0	0	1.87	47
132			"base"	"interview"	2021-04-23 14:30:27	7	3	552	4	1	4	4	1	4	3	3	3	1	3	3	3	3	2	1	2	3	2	4	2	2	2	2	1	4	4	4	1	2	4	1	3	1	3	3	2	4	4	2	3	1	2	3	1	3	2	1	4	4	3	2	2	3	3	2	1	3	1	3	1	2	1	4	3	3	1	3	2	2	3	1	1	1	1	4	3	4	3	2	2	4	3	4	1	10650	1	5599	1	4354	1	3952	1	3655	1	3249	1	3222	1	3077	1	4157	1	4196	1	4123	1	4093	1	3409	1	3380	1	2905	1	3340	2	4898	1	5485	2	2749	2	2734	2	2899	2	2571	1	3636	2	2464	2	2828	2	3400	2	2215	1	2146	1	2381	2	2380	1	7026	1	2720	1	2231	2	2499	2	2492	2	2505	2	2389	2	3074	1	2458	1	2368	1	3608	2	2432	2	3535	1	4219	2	2852	1	3195	2	2544	2	2975	1	2917	1	5347	2	2726	1	2736	2	3470	2	3112	2	3013	2	2211	2	2193	2	2268	2	2391	1	2425	1	2295	2	2412	2	2355	1	3223	1	2913	1	2564	1	2380	2	2174	1	2165	2	2236	2	2421	1	2409	1	2553	2	2328	2	3437	1	3721	1	2409	1	2894	2	2409	2	2319	2	2431	1	2626	1	2221	1	2391	2	2753	1	2461	1	2496	2	2678	1	2869	2	2174	1	2297	1	3801	1	2444	2	2611	1	2504	2	2213	1	2392	2	2351	2	2821	1	3640	"5f915119067a16025ca4327c"	"-"	"Forced2Forced1Forced4Forced2Forced2Forced3Forced2Forced2Forced4Forced1Forced2Forced2Forced4Forced2Forced2Forced1ForcedFeedback"	"-480"	2	2	2	2	2		1	T	31	37	56	48	19	14	19	16	3	4	71	46	52	11	15	48	4	14	5	42	46	53	308	26	26	29	40	820		2021-04-23 14:44:25	T	F	17	17	1	0	0.79	8
133			"base"	"interview"	2021-04-23 14:30:31	4	4	318	4	4	2	4	2	3	4	4	1	1	1	4	1	2	3	3	1	3	2	3	1	3	3	2	2	3	2	4	4	3	1	3	3	3	4	2	2	4	4	4	1	2	1	1	1	4	1	1	3	3	2	3	4	1	4	3	3	1	2	1	4	1	3	1	1	4	4	3	3	1	2	3	1	4	2	2	1	3	4	3	4	1	4	4	1	6459	1	4365	1	4566	1	3231	1	2651	1	2794	1	3807	1	3183	1	2605	1	2650	1	2459	1	2465	1	3291	1	2630	1	2702	1	2809	1	2867	1	3785	1	2328	2	2485	1	2598	2	2248	2	2027	1	2390	1	2004	1	1941	1	1864	2	1890	2	2018	2	2071	1	1935	1	1777	2	1848	2	2871	1	2142	2	1889	1	2333	1	1944	1	2290	2	2853	1	2620	1	2212	2	1937	2	1937	2	2031	2	2113	1	2084	1	2070	1	2026	2	2475	1	2137	1	2040	2	1914	2	1816	2	1684	2	1809	2	1848	1	1827	1	1809	2	1860	1	1890	2	1864	2	1922	2	2125	1	3435	1	2416	1	2849	1	2414	2	2506	1	2489	1	2137	1	1813	2	2220	1	1979	1	1880	2	2653	1	1822	1	2117	2	2103	1	1941	1	2486	2	2325	1	2972	1	1941	1	2273	1	1838	2	2581	1	2162	2	2180	1	2160	1	2248	2	3055	1	1847	1	1950	1	2012	1	1984	2	1883	2	1941	2	2148	1	2834	"5cb33edd14235c00153203d0"	"-"	"Forced4Forced4Forced3Forced2Forced4Forced1Forced4Forced4Forced4Forced4Forced4Forced3Forced2Forced3Forced4Forced2ForcedFeedback"	"-380"	2	6	1	2	3	"Interesting study"	1	T	21	36	72	44	60	43	101	101	101	101	25	44	24	7	4	11	11	36	2	12	21	19	236	9	25	19	32	537		2021-04-23 14:39:29	T	F	17	17	0	0	1.27	19
134			"base"	"interview"	2021-04-23 14:30:32	1	1	134	3	4	2	4	2	3	2	4	4	1	2	3	3	3	3	3	4	3	2	4	3	4	1	4	2	2	3	2	4	3	2	1	3	2	2	3	1	1	4	4	3	1	3	1	4	3	3	4	4	3	1	2	1	2	3	4	3	4	2	2	3	1	4	2	3	3	1	3	3	2	4	3	1	4	2	1	3	3	2	1	1	2	4	2	1	6159	1	6518	1	6069	1	5024	1	3633	1	6202	1	3973	1	3693	1	3642	1	3313	1	12258	1	26567	1	4072	1	2549	1	2699	1	2474	1	4350	2	4395	2	2568	1	3723	1	2249	2	2428	2	1984	2	1970	1	6320	1	2533	2	2418	2	2107	2	1942	2	1972	1	1946	1	2016	1	1904	1	1924	1	1545	2	1917	2	2011	2	1649	2	1515	2	1565	2	1990	2	1913	2	1916	2	1904	2	1947	1	1928	1	1907	1	1931	2	1929	2	2004	1	1790	1	1932	1	2049	1	1890	1	1927	1	1900	1	2132	1	1854	1	1936	2	1965	2	1543	1	2135	2	1906	1	1893	1	1925	1	1983	1	1582	1	1721	1	1994	1	1884	2	1910	2	1919	2	2011	2	1733	2	1541	2	1718	2	1545	2	3023	1	3344	1	2043	1	1934	2	14079	2	1971	2	1976	2	1947	2	1891	2	1945	2	2003	2	1894	2	2108	2	1835	1	1850	1	1973	2	1974	1	1919	1	1915	1	2067	1	1797	1	1943	2	4458	"604384a4a4d8ea1d0c253732"	"-"	"Forced2Forced4Forced4Forced3Forced2Forced1Forced2Forced4Forced2Forced2Forced2Forced1Forced2Forced1Forced2Forced2ForcedFeedback"	"-440"	2	1	2	2	3		1	T	75	39	40	74	51	33	21	12	38	39	29	5	5	8	36	51	6	17	2	16	35	22	254	9	8	14	2	493		2021-04-23 14:39:12	T	F	17	17	1	0	1.53	49
135			"base"	"interview"	2021-04-23 14:30:33	2	3	155	4	3	3	2	2	3	1	1	2	2	2	1	3	1	3	3	2	3	3	1	3	4	1	2	2	2	4	3	4	4	3	2	4	3	1	2	1	1	1	2	4	4	1	3	1	1	2	3	2	1	3	1	3	4	1	2	3	4	3	1	2	4	3	2	4	1	2	1	2	3	3	4	3	3	3	3	2	4	1	2	4	4	4	1	1	8344	1	4494	1	4412	1	3907	1	3728	1	2866	1	3460	1	2891	1	3454	1	2923	1	2629	1	2643	1	3362	1	3067	1	2981	1	3771	2	4338	2	5175	2	2842	1	2399	2	4216	2	3811	2	2484	1	2274	1	4219	2	2212	1	2186	2	1963	2	2065	2	2055	2	1939	1	2004	1	2233	1	1894	1	2017	1	2239	2	1969	2	1913	1	3248	1	2644	1	2197	1	2012	2	1936	2	2027	2	1939	2	2066	2	2070	2	2172	2	2234	2	2263	2	2152	2	2102	1	2050	1	2133	1	2023	1	1918	2	1892	2	2018	2	2272	2	1950	2	1937	2	1917	2	1903	2	1933	2	1977	2	1868	1	1926	1	1910	1	1913	1	1964	1	1988	1	1981	1	2045	1	1902	2	2382	2	1950	2	2461	2	2220	2	2039	2	1920	1	1866	1	1957	1	1878	1	1905	1	1912	1	1778	1	1889	1	1912	1	2536	2	1945	2	2158	2	2143	2	1941	2	1994	1	5477	1	1990	1	2155	2	2531	2	6609	1	3787	"5ca63f420862d200177477cd"	"-"	"Forced4Forced4Forced2Forced4Forced2Forced3Forced2Forced1Forced2Forced2Forced2Forced1Forced1Forced2Forced2Forced2ForcedFeedback"	"-500"	2	6	2	1	3		1	T	67	58	21	31	11	16	1	1	16	16	29	6	32	6	11	37	3	19	5	17	36	26	257	8	48	16	23	579		2021-04-23 14:40:12	T	F	17	17	1	0	1.17	15
136			"base"	"interview"	2021-04-23 14:30:36	3	1	279	2	2	1	1	2	4	3	3	3	3	4	3	1	1	3	3	2	2	2	3	3	1	4	4	2	3	2	4	2	3	3	2	4	1	3	4	3	3	2	4	2	2	1	1	2	2	4	1	1	3	2	2	4	1	2	4	1	1	3	4	2	2	3	2	1	1	3	2	1	1	3	1	2	3	1	1	3	4	2	1	4	2	3	1	1	6790	1	5162	1	4306	1	3837	1	4322	1	5494	1	3314	1	2698	1	1008938	1	6201	1	2443	1	2605	1	4511	1	2615	1	3372	1	2491	1	2199	1	2599	1	2057	1	1954	1	2015	1	1889	1	2088	2	1980	2	1885	2	1805	2	1851	2	2052	2	1654	2	1841	2	1899	1	2561	2	1755	2	1876	2	2000	2	2090	2	1770	2	1687	2	1943	2	1813	2	1652	1	1817	1	1861	2	1917	1	2136	1	6110	1	1584	1	1665	2	1670	1	1732	2	1590	1	11608	1	1862	1	1626	1	1715	1	1803	1	1655	1	2003	1	1757	1	1892	1	1847	2	6998	2	1910	2	1879	2	2045	2	1970	2	1794	2	1936	2	1805	2	2271	2	1685	2	1648	2	1586	2	1633	2	1808	2	1735	2	1743	2	7421	2	1837	2	2451	2	3068	2	2276	2	1832	2	7009	2	1703	2	4228	2	1936	2	1736	2	1636	2	2537	2	2427	2	1656	1	1924	1	2122	1	2944	2	2263	1	1673	1	2640	2	1841	1	2380	"5fc0fd3904e71507897ae593"	"-"	"Forced2Forced1Forced4Forced1Forced2Forced2Forced4Forced2Forced2Forced2Forced2Forced2Forced2Forced3Forced1Forced4ForcedFeedback"	"-560"	2	4	1	2	3		1	T	61	37	42	62	81	77	28	26	72	57	27	33	59	7	15	1049	4	11	2	11	19	21	243	8	24	13	17	546		2021-04-23 14:56:40	T	F	17	17	1	0	1.22	19
137			"base"	"interview"	2021-04-23 14:30:44	3	2	259	3	2	3	1	1	3	3	3	1	2	3	3	3	1	4	1	4	4	3	1	1	1	2	2	1	2	1	1	2	1	4	1	1	3	4	2	4	2	1	3	1	2	4	1	4	4	2	2	3	3	4	2	1	1	3	1	3	4	2	3	2	4	4	2	1	3	4	1	2	4	2	2	3	3	1	4	2	1	1	1	1	3	3	2	1	6874	1	6932	1	9207	1	5707	1	6574	1	7216	1	4713	1	5893	1	5451	1	6521	1	3597	1	3568	1	3278	1	3354	1	3221	1	3015	1	8427	1	7691	1	4451	1	3929	1	3724	1	2837	1	2489	1	2577	1	2653	1	2831	1	2551	1	2469	1	2708	1	2591	2	3442	2	2629	2	4840	2	2723	2	2822	2	2274	2	3540	1	3401	1	2280	1	2389	1	2272	1	2267	1	2326	1	2338	1	2497	1	2443	1	1836	1	2289	1	2268	1	2204	1	2249	1	2239	1	2184	1	2279	1	2943	1	2211	1	2254	1	2285	1	2204	2	2808	2	2231	2	2326	2	2242	2	2191	2	2235	2	2130	2	2271	2	2368	2	2289	1	2365	1	2164	1	2230	1	2163	1	2105	1	2170	1	2522	1	2372	1	4489	1	2772	2	3242	2	2247	2	2180	2	2396	2	2301	2	2302	2	2933	2	2600	2	2372	2	2332	1	2284	1	2157	1	2238	1	2293	1	2400	1	2454	1	2476	1	2699	1	2386	1	2288	1	4356	"606f3e5258519cd7eac60e35"	"-"	"Forced2Forced4Forced4Forced4Forced4Forced1Forced2Forced3Forced4Forced2Forced4Forced4Forced4Forced3Forced3Forced4ForcedFeedback"	"-520"	2	15	2	2	5		1	T	91	73	31	76	91	86	71	92	95	90	34	13	41	10	8	21	15	54	7	28	82	32	296	20	40	22	26	749		2021-04-23 14:43:14	T	F	17	17	1	0	0.77	3
138			"base"	"interview"	2021-04-23 14:30:49	2	4	176	4	4	3	2	1	2	2	4	1	3	1	3	2	1	2	2	2	4	4	4	3	3	4	2	4	2	2	3	4	4	2	1	2	1	3	3	4	3	3	1	3	2	2	4	4	4	3	4	4	2	1	4	2	3	2	4	2	3	3	1	2	3	4	1	2	2	3	4	4	1	3	4	2	2	2	2	3	2	1	4	4	2	1	3	1	5070	1	5200	1	4529	1	4388	1	4240	1	2833	1	3603	1	2978	1	3344	1	2798	1	2697	1	2851	1	3395	1	3110	1	2714	1	3145	1	3180	1	2280	1	2095	1	1941	1	2343	1	2111	2	2541	1	1909	2	1922	1	2114	1	2240	1	2295	2	2526	2	2082	1	1943	1	1977	1	1922	1	1955	1	1918	1	1946	1	2008	1	1956	1	1830	1	2410	2	1981	1	2004	2	1820	2	2143	1	2585	1	2232	1	2396	1	2183	2	2095	1	1964	1	2025	1	2508	2	1960	1	2146	1	2067	1	2178	2	2462	1	2117	1	2244	1	2408	1	2180	1	1959	1	2119	1	2205	1	2137	1	2178	1	2149	2	2141	2	2177	1	2239	1	2589	2	2473	2	2552	1	2037	1	2086	1	2055	1	2048	2	1898	1	132	1	146	1	2073	2	2155	1	2021	1	1934	1	1978	1	2352	1	2087	1	2133	1	2239	2	1876	1	1869	2	2225	1	1953	2	2088	1	1889	1	2167	1	2158	1	1951	1	171	1	2649	"5bf4b3cce836680001bccac1"	"-"	"Forced4Forced3Forced4Forced4Forced4Forced4Forced2Forced2Forced4Forced4Forced4Forced1Forced3Forced4Forced3Forced2ForcedFeedback"	"-360"	2	6	2	2	5		1	T	18	52	75	26	46	21	6	80	11	14	22	7	20	6	3	14	14	43	5	12	17	17	262	8	11	14	14	489		2021-04-23 14:38:59	T	F	17	17	1	0	1.47	28
139			"base"	"interview"	2021-04-23 14:30:56	5	2	431	4	2	3	1	3	3	1	2	3	1	3	4	1	1	3	4	4	3	3	4	2	4	3	1	3	4	1	2	3	3	2	3	3	3	4	3	4	3	3	2	2	3	4	3	2	4	4	1	1	4	1	3	4	3	4	3	4	1	4	2	3	4	4	4	1	1	1	4	2	4	3	2	1	1	4	2	1	1	4	2	2	4	4	1	1	8052	1	4148	1	3251	1	3090	1	3128	1	2859	1	2752	1	2653	1	2745	1	2712	1	2872	1	2773	1	2891	1	2654	1	2855	1	2690	2	4950	2	3626	1	3016	2	2461	2	3407	1	3173	2	2881	2	2746	1	2292	2	2072	2	2084	2	2179	1	2412	2	3157	1	2085	2	2141	2	6567	1	2905	2	2196	2	2332	2	2118	1	4047	2	3723	2	5758	2	2827	1	2137	2	2244	2	2920	2	2062	1	2421	2	2908	1	2174	1	2073	2	2642	2	2124	2	2148	2	2202	2	2233	1	2131	1	2161	1	2051	1	2039	2	2289	2	2279	1	2240	2	2215	2	2188	2	2122	1	2124	2	2539	2	3112	2	2146	1	1935	1	2613	1	2372	2	2309	2	2165	2	13728	2	2287	2	7807	2	2154	1	2168	1	2197	1	4595	2	2224	2	2773	1	2266	2	2744	2	2110	1	2017	2	2036	2	2085	2	26377	2	2285	2	25660	2	1953	1	1964	2	3806	2	5397	2	2443	2	2265	1	1815	1	2198	1	3100	"603e8be81b5f9e19ee7b5171"	"-"	"Forced4Forced2Forced4Forced4Forced4Forced2Forced4Forced4Forced3Forced4Forced1Forced3Forced2Forced4Forced3Forced4ForcedFeedback"	"-320"	2	4	1	1	2		1	T	6	1	86	71	78	71	56	56	60	66	36	33	38	7	4	13	11	40	3	15	42	22	389	12	81	21	17	602		2021-04-23 14:44:00	T	F	17	17	1	0	1.03	10
140			"base"	"interview"	2021-04-23 14:31:00	4	3	338	2	3	2	3	4	3	1	3	1	2	4	3	1	1	3	4	1	3	4	4	4	3	3	4	3	4	4	2	1	4	4	3	4	3	3	2	2	4	1	4	3	3	4	1	2	3	3	3	3	1	3	3	1	1	3	4	2	3	1	4	4	3	2	1	3	4	2	1	4	2	4	1	2	3	1	4	4	3	1	3	4	1	2	4	1	9699	1	6330	1	6974	1	3505	1	4680	1	14000	1	9422	1	4802	1	3668	1	7085	1	4115	1	3635	1	4637	1	3178	1	5162	1	4654	2	3668	1	5158	2	2980	2	2458	2	3415	2	3539	1	2677	-9	-1	2	3367	1	2719	2	2670	2	4742	2	4375	1	2605	2	5550	2	2837	1	3057	2	1782	2	2564	2	4889	1	7725	2	4603	2	2566	1	2446	1	2757	2	2373	2	2797	2	2268	1	2647	2	2290	2	5325	2	4301	2	9518	2	1806	1	4906	1	1551	2	3012	2	6066	2	3384	1	2396	1	2711	1	2089	2	2968	2	2611	2	2959	2	2423	1	2402	2	2446	2	2013	2	2033	1	2455	1	2286	2	2361	2	2683	1	3373	1	2072	1	1557	1	2436	1	2432	2	2347	2	2381	1	2886	2	2799	2	2255	1	2461	2	2415	2	2454	2	2438	1	2533	1	2814	2	2389	2	3940	2	2920	-9	-1	1	3242	2	2789	2	19265	2	3775	2	2795	1	4015	1	2291	1	2845	1	2590	2	2537	"5fff0efe67408f66536a717d"	"-"	"Forced2Forced2Forced2Forced1Forced3Forced4Forced4Forced1Forced2Forced2Forced1Forced4Forced2Forced2Forced2Forced2ForcedFeedback"	"-340"	2	1	2	2	2		1	T	101	31	26	61	52	40	101	61	52	48	41	8	2	1	33	59	6	29	3	10	28	65	406	11	30	17	45	654		2021-04-23 14:44:15	T	F	17	17	3	2	1.17	57
141			"base"	"interview"	2021-04-23 14:31:01	2	1	201	3	2	2	1	4	2	1	1	3	4	2	2	2	2	4	3	1	3	3	3	4	3	3	4	1	1	3	4	2	1	4	3	4	3	3	3	4	1	2	1	3	4	1	4	4	3	3	4	2	1	4	4	4	4	3	4	3	4	1	4	3	4	2	1	4	2	2	4	3	3	2	4	2	1	4	2	1	3	2	4	4	3	2	1	1	7431	1	6518	1	7381	1	3900	1	3013	1	5996	1	3179	1	4837	1	6567	1	3552	1	3238	1	2655	1	3060	1	2897	1	2823	1	2937	2	7051	1	2860	2	2069	2	2011	2	2073	2	2286	1	2183	1	1890	1	1928	1	1889	1	1993	2	1943	1	1925	2	2006	1	1940	2	2347	1	4395	1	2358	2	2560	2	2362	2	2105	1	2920	1	5992																																																																																																																											"5f0b39e505b21743171e3391"	"-"	"Forced2Forced1Forced2Forced2Forced2Forced2Forced2Forced4Forced3Forced2Forced4Forced4Forced2Forced1Forced1Forced2ForcedFeedback"		2						1	T	1		76	28			81	81			18	3	3	1	14	47	7	13	3	16	31	2	76					234		2021-04-23 14:34:55	F	F	13	13	0	0	1.96	138
